CBS,Naam,Prov,Suppletie nieuwe verdeling GF,Beschermd wonen,Participatie,Voogdij/18+,aanpak laaggeletterdheid,armoedebestrijding kinderen,beeldende kunst en vormgeving,BRP: Centralisering Inschrijving Vergunninghouders,experiment gesloten coffeeshopketen,extra capaciteit BOA's,jeugd,jeugdhulp aan kinderen in een AZC,knelpunten verdeelproblematiek,maatschappelijke opvang,personen met verward gedrag,slavernijverleden,Uitstapprogramma prostituees,veiligheidshuizen,vergunningverlening, toezicht en handhaving,versterking arbeidsmarktregio's,versterking omgevingsveiligheidsdiensten,voorschoolse voorziening peuters,vrouwenopvang
1731,Midden-Drenthe,3,-147682,0,122622,0,0,103637,0,0,0,34551,0,0,0,0,0,0,0,0,122093,0,11000,73455,0
1699,Noordenveld,3,5598,0,2988337,0,0,120100,0,0,0,34148,0,0,0,0,0,0,0,0,125985,0,6000,56890,0
1730,Tynaarlo,3,3950762,0,121050,0,0,102557,0,0,0,34662,0,21799,0,0,0,0,0,0,50589,0,8000,61467,0
1701,Westerveld,3,-571453,0,2768968,0,0,43452,0,0,0,31999,0,0,0,0,0,0,0,0,39887,0,3000,51133,0
141,Almelo,4,-116348,13202801,11059446,0,0,498752,0,0,0,41944,296468,65792,0,3008886,0,0,0,0,256348,0,17000,136787,0
147,Borne,4,103000,0,2573782,0,0,63424,0,0,0,32745,0,0,0,0,0,0,0,0,0,0,4000,34964,0
148,Dalfsen,4,-561198,0,2918146,0,0,59915,0,0,0,33718,0,0,0,0,0,0,0,0,48643,0,5000,46639,0
150,Deventer,4,-1167938,17509219,16447526,0,0,526011,150000,0,0,47170,235941,90365,0,3850396,0,0,0,0,258780,0,27000,174643,0
1774,Dinkelland,4,-655937,0,1945369,0,0,60455,0,0,0,33291,0,0,0,0,0,0,0,0,63236,0,5000,45652,0
153,Enschede,4,-5815802,34010777,25130102,0,203706,1188585,404571,0,0,58049,793023,0,0,9001741,360036,0,107429,277200,330285,398593,28000,313920,7318102
158,Haaksbergen,4,-2638615,0,2159083,0,0,80696,0,0,0,32849,0,0,0,0,0,0,0,0,40860,0,4000,40269,0
160,Hardenberg,4,0,0,8473058,0,0,188112,0,0,0,39754,0,91950,0,0,0,0,0,0,261698,0,17000,113678,0
163,Hellendoorn,4,-2353783,0,3409986,0,0,103097,0,0,0,35025,0,0,0,0,0,0,0,0,148847,0,6000,57593,0
164,Hengelo,4,-4538294,0,12327823,0,0,425073,0,0,0,43416,74792,52090,0,0,0,0,0,0,231540,0,19000,139324,0
1735,Hof van Twente,4,-1916202,0,2541930,0,0,98509,0,0,0,34860,0,0,0,0,0,0,0,0,133768,0,7000,54608,0
166,Kampen,4,-3571654,0,5424527,0,0,212671,0,0,0,38474,0,0,0,0,0,0,0,0,251483,0,13000,91583,0
